0,0.42,0.37,0.29,0.21,0.13,0.01
0.1,0.33,0.25,0.2,0.13,0.11,0.06
0.2,0.33,0.31,0.26,0.2,0.09,0.07
0.3,0.37,0.31,0.18,0.13,0.11,0.01
0.4,0.36,0.23,0.23,0.21,0.1,0.06
0.5,0.35,0.31,0.15,0.12,0.11,0.05
0.6,0.32,0.26,0.24,0.16,0.07,0.05
0.7,0.35,0.28,0.25,0.16,0.13,0.05
0.8,0.32,0.26,0.16,0.17,0.08,0
0.9,0.33,0.3,0.31,0.16,0.05,0.06
1,0.36,0.32,0.15,0.16,0.11,0.04
1.1,0.33,0.23,0.21,0.2,0.09,0.03
1.2,0.34,0.25,0.2,0.1,0.06,0.03
1.3,0.31,0.32,0.24,0.16,0.1,0.05
1.4,0.33,0.25,0.2,0.18,0.1,0.02
1.5,0.32,0.23,0.21,0.15,0.11,0.06
1.6,0.33,0.32,0.2,0.16,0.05,0.02
1.7,0.28,0.22,0.21,0.15,0.15,0.05
1.8,0.28,0.32,0.18,0.18,0.08,0.05
1.9,0.34,0.2,0.24,0.16,0.1,0.06
2,0.26,0.25,0.17,0.12,0.06,-0.01
2.1,0.27,0.27,0.21,0.19,0.1,0.06
2.2,0.27,0.2,0.2,0.15,0.1,0.05
2.3,-4.56,0.26,0.16,0.15,0.1,0.05
2.4,-2.99,0.18,0.26,0.16,0.08,0
2.5,-0.05,-1.01,0.15,0.15,0.08,0.05
2.6,-0.1,-5.84,0.18,0.14,0.1,0.06
